# generated by tools/gen-entropy-model.py -- do not edit
# exact entropy of the word part, under no-repeat drawing and pooled mix.
# digits are uniform and independent and are added by the app.
# pool sizes: adjective=2675, noun=2782, verb=2893
# language	type	words	hmin	h2
mix	verb	4	45.990409116	45.990409116
random	verb	4	34.408664332	35.946038037
en	verb	5	41.095761372	41.095761372
no	verb	5	40.774001735	40.774001735
pt	verb	5	40.646323074	40.646323074
es	verb	5	40.646323074	40.646323074
de	verb	5	40.542527587	40.542527587
fr	verb	5	40.672040244	40.672040244
it	verb	5	40.568616816	40.568616816
nl	verb	5	40.620513888	40.620513888
pl	verb	5	40.646323074	40.646323074
ro	verb	5	40.490064330	40.490064330
la	verb	5	40.139424088	40.139424088
mix	verb	5	57.486763604	57.486763604
random	verb	5	42.529313747	44.060331955
